simulation,kraftstoff,energie,arbeitskosten,kreditzins,kraftstoff_aenderung_prozent,energie_aenderung_prozent,arbeitskosten_aenderung_prozent,kreditzins_aenderung_prozentpunkte
222,161.6,141.4,158.476199458,4.29,-4.09495548961,-2.34806629834,18.7238820361,-0.07
223,172.4,144,128.393411802,4.55,2.31454005935,-0.552486187845,-3.81291115555,0.19
224,160.6,144,144.551595951,4.47,-4.6884272997,-0.552486187845,8.29213903749,0.11
225,176,144,144.551595951,4.44,4.45103857567,-0.552486187845,8.29213903749,0.08
226,164.8,142.6,128.393411802,4.35,-2.19584569733,-1.51933701657,-3.81291115555,-0.01
227,161.3,144.4,124.919575439,4.36,-4.27299703264,-0.276243093923,-6.4153671714,0
228,169.4,146.3,125.070398149,4.3,0.53412462908,1.03591160221,-6.30237696994,-0.06
229,170.2,143.9,135.295494737,4.35,1.00890207715,-0.621546961326,1.35784686952,-0.01
230,170.1,144.4,137.824842105,4.24,0.949554896142,-0.276243093923,3.25273038909,-0.12
231,161.7,143.4,135.295494737,4.41,-4.03560830861,-0.966850828729,1.35784686952,0.05
232,167.5,147.1,122.121664327,4.45,-0.593471810089,1.58839779006,-8.51144765439,0.09
233,163.7,144.9,138.648217105,4.32,-2.84866468843,0.0690607734807,3.86956923748,-0.04
234,146.7,144.5,144.551595951,4.35,-12.9376854599,-0.207182320442,8.29213903749,-0.01
235,171.8,144.5,124.919575439,4.36,1.95845697329,-0.207182320442,-6.4153671714,0
236,167.3,144.6,124.919575439,4.38,-0.712166172107,-0.138121546961,-6.4153671714,0.02
237,171.2,144.9,136.684714833,4.6,1.60237388724,0.0690607734807,2.39859370297,0.24
238,173.3,141,136.684714833,4.32,2.84866468843,-2.62430939227,2.39859370297,-0.04
239,161.3,144.2,144.551595951,4.3,-4.27299703264,-0.414364640884,8.29213903749,-0.06
240,168.4,146.9,128.393411802,4.35,-0.0593471810089,1.45027624309,-3.81291115555,-0.01
241,168.4,144.9,144.551595951,4.31,-0.0593471810089,0.0690607734807,8.29213903749,-0.05
242,190.9,144.8,144.551595951,4.23,13.293768546,0,8.29213903749,-0.13
243,167.6,146.3,128.393411802,4.23,-0.53412462908,1.03591160221,-3.81291115555,-0.13
244,165.5,143.4,158.476199458,4.35,-1.78041543027,-0.966850828729,18.7238820361,-0.01
245,165.7,140.4,138.648217105,4.35,-1.66172106825,-3.03867403315,3.86956923748,-0.01
246,169.3,147.3,135.295494737,4.27,0.474777448071,1.72651933702,1.35784686952,-0.09
247,169.9,144.8,122.121664327,4.35,0.830860534125,0,-8.51144765439,-0.01
248,170.2,144.4,128.393411802,4.32,1.00890207715,-0.276243093923,-3.81291115555,-0.04
249,169.8,143.6,144.551595951,4.41,0.771513353116,-0.828729281768,8.29213903749,0.05
250,168.7,144.4,137.824842105,4.29,0.118694362018,-0.276243093923,3.25273038909,-0.07
251,170.2,143.8,137.824842105,4.46,1.00890207715,-0.690607734807,3.25273038909,0.1
252,173.2,144.5,144.551595951,4.44,2.78931750742,-0.207182320442,8.29213903749,0.08
253,199.9,144.4,138.648217105,4.35,18.6350148368,-0.276243093923,3.86956923748,-0.01
254,170.1,143.2,144.551595951,4.29,0.949554896142,-1.10497237569,8.29213903749,-0.07
255,168.3,143.6,137.824842105,4.32,-0.118694362018,-0.828729281768,3.25273038909,-0.04
256,174.3,146.1,125.070398149,4.27,3.44213649852,0.897790055249,-6.30237696994,-0.09
257,199.9,144.8,136.684714833,4.34,18.6350148368,0,2.39859370297,-0.02
258,159.8,141.4,124.919575439,4.3,-5.16320474777,-2.34806629834,-6.4153671714,-0.06
259,170.1,144.4,128.393411802,4.32,0.949554896142,-0.276243093923,-3.81291115555,-0.04
260,158.9,145.8,124.919575439,4.35,-5.69732937685,0.690607734807,-6.4153671714,-0.01
261,185.7,144.4,158.476199458,4.53,10.2077151335,-0.276243093923,18.7238820361,0.17
262,167.3,144.3,128.393411802,4.3,-0.712166172107,-0.345303867403,-3.81291115555,-0.06
263,199.6,143.4,137.824842105,4.45,18.4569732938,-0.966850828729,3.25273038909,0.09
264,165.5,143.7,122.121664327,4.41,-1.78041543027,-0.759668508287,-8.51144765439,0.05
265,171.8,143.6,136.684714833,4.42,1.95845697329,-0.828729281768,2.39859370297,0.06
266,153.9,145.2,158.476199458,4.24,-8.6646884273,0.276243093923,18.7238820361,-0.12
267,174.5,142.6,128.393411802,4.42,3.56083086053,-1.51933701657,-3.81291115555,0.06
268,160.6,143.7,144.551595951,4.45,-4.6884272997,-0.759668508287,8.29213903749,0.09
269,165.4,144,135.295494737,4.31,-1.83976261128,-0.552486187845,1.35784686952,-0.05
270,166.9,143.7,136.684714833,4.36,-0.949554896142,-0.759668508287,2.39859370297,0
271,174.1,146.1,138.648217105,4.34,3.3234421365,0.897790055249,3.86956923748,-0.02
272,169.2,144.5,124.919575439,4.29,0.415430267062,-0.207182320442,-6.4153671714,-0.07
273,173.2,143.3,125.070398149,4.23,2.78931750742,-1.03591160221,-6.30237696994,-0.13
274,146.7,144.4,137.824842105,4.46,-12.9376854599,-0.276243093923,3.25273038909,0.1
275,174.5,141,135.295494737,4.27,3.56083086053,-2.62430939227,1.35784686952,-0.09
276,168.3,143.7,137.824842105,4.24,-0.118694362018,-0.759668508287,3.25273038909,-0.12
277,160.6,141,122.121664327,4.53,-4.6884272997,-2.62430939227,-8.51144765439,0.17
278,171,144.5,144.551595951,4.41,1.48367952522,-0.207182320442,8.29213903749,0.05
279,161.3,144.6,136.684714833,4.53,-4.27299703264,-0.138121546961,2.39859370297,0.17
280,176.6,144.6,135.295494737,4.35,4.80712166172,-0.138121546961,1.35784686952,-0.01
281,171.8,144.4,138.648217105,4.35,1.95845697329,-0.276243093923,3.86956923748,-0.01
282,166.4,143.7,135.295494737,4.38,-1.24629080119,-0.759668508287,1.35784686952,0.02
283,174.5,143.8,122.121664327,4.35,3.56083086053,-0.690607734807,-8.51144765439,-0.01
284,170.8,144.8,128.393411802,4.32,1.3649851632,0,-3.81291115555,-0.04
285,164.8,144.3,138.648217105,4.21,-2.19584569733,-0.345303867403,3.86956923748,-0.15
286,166.4,143.9,158.476199458,4.3,-1.24629080119,-0.621546961326,18.7238820361,-0.06
